priority_score,tier,title,game_url,has_discord,discord_url,discord_server,discord_members,discord_online,active,peak_active_seen,visits,favorites,likes,dislikes,like_ratio,heat_active_per_1k_visits,age_days,created,last_updated,creator_type,creator_name,creator_url,group_members,owner_name,owner_url,owner_roblox_signal,youtube,tiktok,twitter_x,twitch,instagram,other_links,genre,max_players,universe_id,place_id,found_via,checked_at_utc
1316,1-BEST (MUST BUY),🎃 Halloween Scare Nights,https://www.roblox.com/games/132781663296476/,YES,https://discord.gg/CnX4mN6bPK,Universal Roblox Theme Park,4380,1147,135,135,23845,134,113,4,96.6,5.66,54,2026-07-13,2026-09-05,Group,Universal Roblox Park & Resort,https://www.roblox.com/groups/1181615,131416,Dapale,https://www.roblox.com/users/18247660/profile,YES,https://youtube.com/channel/UCB6guuqe67OxwiQ0vCsgXYg,,https://x.com/UniRobloxGame,,,,All,40,10497600743,132781663296476,search:[HALLOWEEN],2026-09-05 19:26
1222,1-BEST (MUST BUY),My PC Store 🖥️ ,https://www.roblox.com/games/124383051659240/,YES,https://discord.gg/5n5pZbNNK9,My Pc Store,28,18,161,161,36888,209,121,35,77.6,4.36,76,2026-06-21,2026-09-05,Group,Parallax Studio.,https://www.roblox.com/groups/855081453,6589,ScriptedAsync,https://www.roblox.com/users/702184164/profile,,,,,,,,All,6,10371266739,124383051659240,search:store,2026-09-05 19:25
874,3-GOOD,Kick an Uma,https://www.roblox.com/games/74968636725538/,YES,https://discord.gg/WTWYsXYCw6,Kick An Uma! │ 30 Dollar Games,274,96,2072,2072,150728,15795,4845,52,98.9,13.75,12,2026-08-24,2026-09-05,Group,30 dollar games,https://www.roblox.com/groups/143238687,14830,pt2x,https://www.roblox.com/users/1171996164/profile,,,,,,,,All,5,10759415852,74968636725538,search:kick,2026-09-05 19:26
600,4-MID,Dropshipping Tycoon,https://www.roblox.com/games/139186643787547/,YES,https://discord.gg/SFKnarUMy4,DragonT Studios,674,75,2144,2144,292874,3504,1998,385,83.8,7.32,27,2026-08-09,2026-09-05,Group,DragonT Gaming,https://www.roblox.com/groups/34952375,1487,DragonTStudios,https://www.roblox.com/users/2295198698/profile,,,,https://x.com/DragontStudios,,,,All,8,10666108087,139186643787547,search:tycoon,2026-09-05 19:26
581,4-MID,Experiment Box,https://www.roblox.com/games/135763299649828/,YES,https://discord.gg/xpNhW46svB,World Sim!,396,75,1598,1598,339602,2256,318,145,68.7,4.71,26,2026-08-10,2026-09-05,Group,World Simulation,https://www.roblox.com/groups/656546235,68156,SuuppaSonic,https://www.roblox.com/users/3499141394/profile,,,,,,,,All,1,10673940067,135763299649828,search:untitled boxing game,2026-09-05 19:27
580,4-MID,TCU : RE-CODE v0.1,https://www.roblox.com/games/104890260413773/,YES,https://discord.gg/toiletcollapseduniverse,LUNARFROST🌀,17121,4970,2181,2181,369554,1931,1980,189,91.3,5.9,133,2026-04-25,2026-09-05,Group,LunarFrost,https://www.roblox.com/groups/35118229,22408,FS_TheAngelDevil,https://www.roblox.com/users/3008312451/profile,,,,,,,,All,1,10080411105,104890260413773,search:[CODES],2026-09-05 19:27
570,4-MID,Build a Dino Defense 🦖,https://www.roblox.com/games/138949299666923/,YES,https://discord.gg/yhRYXgpANu,Build a Dino Defense🦖,30,11,1222,1222,320089,965,191,38,83.4,3.82,26,2026-08-10,2026-09-05,Group,Big Chomp Games,https://www.roblox.com/groups/1111294267,29153,ToastyHam0,https://www.roblox.com/users/7872316101/profile,,,,,,,,All,6,10669713140,138949299666923,search:dino game,2026-09-05 19:26
501,4-MID,Dreamality [DEMO],https://www.roblox.com/games/88127769676091/,YES,https://discord.gg/2mKrG2G6zU,Frutiger Studios!,1218,328,1701,1701,315367,32745,5757,357,94.2,5.39,68,2026-06-29,2026-09-05,Group,Frutiger Studios!,https://www.roblox.com/groups/791837250,2026,hugs_plz,https://www.roblox.com/users/1198538069/profile,,,,,,,,All,25,10414828414,88127769676091,sort:Trending in Adventure,2026-09-05 19:27
491,4-MID,[EVENT] MOUNT SOREYA🌄,https://www.roblox.com/games/118517641508250/,YES,https://discord.gg/j6HNUha4A,MPG COMMUNITY,1407,95,1147,1147,458244,2033,3366,152,95.7,2.5,45,2026-07-22,2026-09-05,Group,MPG COMMUNITY.,https://www.roblox.com/groups/7019573,299633,karlos443311,https://www.roblox.com/users/384123483/profile,,,,,,,,All,35,10547430486,118517641508250,search:[NEW],2026-09-05 19:27
476,4-MID,Pop Bubbles! 🎯,https://www.roblox.com/games/72390882197205/,YES,https://discord.gg/bubbleplanet,Bubble Planet 🫧,361,125,1124,1124,306557,23427,10486,206,98.1,3.67,52,2026-07-14,2026-09-05,Group,Bubble Planet,https://www.roblox.com/groups/345496772,23570,RGBeeeeee,https://www.roblox.com/users/3566542201/profile,,,,,,,,All,5,10503838245,72390882197205,sort:Top Earning,2026-09-05 19:27
